time,seconds_elapsed,z,y,x
1772698684930303200,0.07330322265625,0.1288549154996872,-0.0856696292757988,0.4496230185031891
1772698684940260000,0.083260009765625,0.09912580251693726,-0.0744318887591362,0.3947356343269348
1772698684950216200,0.09321630859375,0.07861652970314026,-0.07003101706504822,0.335767924785614
1772698684960173000,0.103173095703125,0.06648479402065277,-0.07301349937915802,0.2663900852203369
1772698684970130200,0.113130126953125,0.05605559051036835,-0.07899495959281921,0.19888824224472046
1772698684980087300,0.12308740234375,0.053649138659238815,-0.08705900609493256,0.13569773733615875
1772698684990044200,0.133044189453125,0.04779177904129028,-0.0688544362783432,0.07636943459510803
1772698685000001300,0.143001220703125,0.0345550961792469,-0.04649347811937332,0.03151898831129074
1772698685009958100,0.152958251953125,0.023130135610699654,-0.02637648954987526,0.00303408270701766
1772698685019915300,0.162915283203125,0.018995538353919983,-0.02455727756023407,-0.015063351020216942
1772698685029872000,0.1728720703125,0.03650209307670593,-0.031808000057935715,-0.005270640831440687
1772698685039829200,0.182829345703125,0.055821437388658524,-0.0357031375169754,0.012116756290197372
1772698685049786400,0.192786376953125,0.07617916911840439,-0.04453444480895996,0.033731501549482346
1772698685059743200,0.2027431640625,0.08973700553178787,-0.04234345257282257,0.05633589252829552
1772698685069700400,0.212700439453125,0.09829746931791306,-0.03765735402703285,0.0753932073712349
1772698685079657200,0.2226572265625,0.11209643632173538,-0.035723909735679626,0.10222619026899338
1772698685089614000,0.232614013671875,0.13280092179775238,-0.042386606335639954,0.12507878243923187
1772698685099571200,0.2425712890625,0.139113649725914,-0.03475344926118851,0.14688675105571747
1772698685109528300,0.2525283203125,0.13956531882286072,-0.03169400990009308,0.16526122391223907
1772698685119485200,0.262485107421875,0.15642665326595306,-0.05055612325668335,0.1870054006576538
1772698685129442300,0.2724423828125,0.16922339797019958,-0.09044894576072693,0.2060302197933197
1772698685139398400,0.2823984375,0.17270946502685547,-0.12003479897975922,0.2113245129585266
1772698685149355300,0.292355224609375,0.15247823297977448,-0.1216377541422844,0.20013977587223053
1772698685159312100,0.30231201171875,0.10726357996463776,-0.10541988909244537,0.16617365181446075
1772698685169269200,0.312269287109375,0.06543970108032227,-0.08392739295959473,0.12250101566314697
1772698685179226000,0.32222607421875,0.038489025086164474,-0.062292665243148804,0.07767514139413834
1772698685189183200,0.332183349609375,0.030354667454957962,-0.052602484822273254,0.049558818340301514
1772698685199140400,0.342140380859375,0.033301182091236115,-0.058320824056863785,0.03138032555580139
1772698685209097200,0.35209716796875,0.04054524749517441,-0.06971622258424759,0.02962796576321125
1772698685219054300,0.362054443359375,0.03839129954576492,-0.09588976949453354,0.039337120950222015
1772698685229011200,0.37201123046875,0.02686140686273575,-0.12037301063537598,0.059921227395534515
1772698685238968000,0.381968017578125,0.007982317358255386,-0.12224442511796951,0.07982808351516724
1772698685248925200,0.39192529296875,-0.0005057102534919977,-0.11932027339935303,0.09968194365501404
1772698685258882300,0.40188232421875,-0.013579783961176872,-0.12165798246860504,0.1121710017323494
1772698685268839200,0.411839111328125,-0.03090124949812889,-0.11836285889148712,0.1235877051949501
1772698685278796300,0.42179638671875,-0.04403934255242348,-0.12527403235435486,0.12479101121425629
1772698685288753200,0.431753173828125,-0.03635133057832718,-0.13886068761348724,0.1207781583070755
1772698685298710000,0.4417099609375,-0.006228080950677395,-0.15648680925369263,0.11571187525987625
1772698685308667100,0.451667236328125,0.030282260850071907,-0.1779811829328537,0.10303523391485214
1772698685318624300,0.461624267578125,0.04769458994269371,-0.2112339437007904,0.07156942039728165
1772698685328581400,0.471581298828125,0.060420237481594086,-0.22671517729759216,0.04160406440496445
1772698685338537200,0.481537109375,0.06148841977119446,-0.23430411517620087,0.002085347194224596
1772698685348494300,0.491494384765625,0.039027318358421326,-0.21972410380840302,-0.04173457249999046
1772698685358451200,0.501451171875,0.0016926927492022514,-0.1692843735218048,-0.07237174361944199
1772698685368408300,0.511408203125,-0.04558294638991356,-0.18063236773014069,0.004954473115503788
1772698685378365200,0.521365234375,-0.05393802002072334,-0.1850617527961731,0.19843152165412903
1772698685388322000,0.531322021484375,0.0026070130988955498,-0.15832839906215668,0.4263448715209961
