time,seconds_elapsed,z,y,x
1772614475864383000,0.064383056640625,0.037784043699502945,-0.09830886870622635,-0.007265956606715918
1772614475874450000,0.074449951171875,0.06952821463346481,-0.07470831274986267,-0.02725042775273323
1772614475884516900,0.084516845703125,0.057875826954841614,-0.06189984455704689,-0.0494992733001709
1772614475894584000,0.094583984375,0.02997341752052307,-0.045085471123456955,-0.07468156516551971
1772614475904651000,0.104651123046875,0.016098348423838615,-0.044005025178194046,-0.07789280265569687
1772614475914718000,0.114718017578125,0.014645065180957317,-0.027914077043533325,-0.06564674526453018
1772614475924785000,0.124784912109375,0.00876107718795538,-0.030203331261873245,-0.05064728856086731
1772614475934850800,0.134850830078125,0.00599831435829401,-0.04418838769197464,-0.03199264034628868
1772614475944918000,0.14491796875,0.005294173955917358,-0.060705043375492096,-0.018654730170965195
1772614475954985000,0.15498486328125,-0.005562303587794304,-0.08434474468231201,-0.0017593554221093655
1772614475965052000,0.165052001953125,-0.019473059102892876,-0.09865684062242508,0.01180252619087696
1772614475975118800,0.175118896484375,-0.021517805755138397,-0.11588836461305618,0.01728956401348114
1772614475985185800,0.185185791015625,-0.011820702813565731,-0.11975527554750443,0.014090575277805328
1772614475995252700,0.195252685546875,0.0034386147744953632,-0.11011407524347305,0.002712719142436981
1772614476005320000,0.20531982421875,0.02212335355579853,-0.08957923948764801,-0.024141531437635422
1772614476015387000,0.215386962890625,0.028678225353360176,-0.07102760672569275,-0.05590381473302841
1772614476025453800,0.225453857421875,0.031125934794545174,-0.05639673396945,-0.09314466267824173
1772614476035520800,0.235520751953125,0.041741788387298584,-0.027705879881978035,-0.12193844467401505
1772614476045588000,0.245587890625,0.0505794882774353,-0.01401376910507679,-0.14322242140769958
1772614476055655000,0.255655029296875,0.08032660186290741,-0.03434893488883972,-0.14255888760089874
1772614476065721300,0.265721435546875,0.055571187287569046,-0.04834651201963425,-0.12119872868061066
1772614476075787300,0.275787353515625,-0.0048510124906897545,-0.1067919135093689,-0.09834017604589462
1772614476085854200,0.285854248046875,-0.05002381652593613,-0.14975668489933014,-0.0717698186635971
1772614476095921200,0.295921142578125,-0.04532746225595474,-0.1491391807794571,-0.031097596511244774
1772614476105988400,0.30598828125,-0.005321723408997059,-0.11201709508895874,-0.0026920554228127003
1772614476116055300,0.31605517578125,0.032691411674022675,-0.06863758713006973,0.0017648834036663175
1772614476126122200,0.326122314453125,0.045821595937013626,-0.027813727036118507,-0.01207849383354187
1772614476136189200,0.336189208984375,0.045952316373586655,0.009359562769532204,-0.032674532383680344
1772614476146256100,0.346256103515625,0.044757623225450516,0.02473905123770237,-0.03807835280895233
1772614476156323000,0.356322998046875,0.03602365404367447,0.007496346719563007,-0.03406428173184395
1772614476166390300,0.366390380859375,0.01527203619480133,-0.01820582151412964,-0.01908266916871071
1772614476176457200,0.376457275390625,-0.0019644873682409525,-0.037771791219711304,-0.005345367360860109
1772614476186524400,0.3865244140625,-0.026308976113796234,-0.06875979900360107,0.00411418080329895
1772614476196591400,0.39659130859375,-0.03730734810233116,-0.08442822098731995,0.010265599004924297
1772614476206658300,0.406658203125,-0.019802391529083252,-0.0653325542807579,0.010268528945744038
1772614476216724500,0.416724365234375,-0.002376993652433157,-0.01674654521048069,0.004981167148798704
1772614476226791400,0.42679150390625,0.015438488684594631,0.024336975067853928,-0.01608869805932045
1772614476236858400,0.4368583984375,0.017137376591563225,0.04879475384950638,-0.03344080224633217
1772614476246925300,0.44692529296875,0.01782207563519478,0.06185835972428322,-0.04414378106594086
1772614476256992300,0.4569921875,0.03653993830084801,0.05829998850822449,-0.04620162025094032
1772614476267059200,0.46705908203125,0.04030404984951019,0.03504340350627899,-0.040487274527549744
1772614476277126400,0.47712646484375,0.02582031488418579,0.015297730453312397,-0.03422660753130913
1772614476287193300,0.487193359375,0.03213333711028099,0.007926899939775467,-0.03319250047206879
1772614476297260300,0.49726025390625,0.06384118646383286,0.003921110183000565,-0.0351899117231369
1772614476307327200,0.5073271484375,0.07780574262142181,-0.008243942633271217,-0.025838486850261688
1772614476317394200,0.517394287109375,0.05069455876946449,-0.026473311707377434,-0.01829744130373001
1772614476327461000,0.527461181640625,0.010052589699625969,-0.0423918254673481,-0.007338533643633127
1772614476337528300,0.5375283203125,-0.009994279593229294,-0.04067172855138779,0.0010563969844952226
1772614476347595300,0.54759521484375,-0.000492120801936835,-0.008645616471767426,0.0059550148434937
1772614476357661200,0.5576611328125,0.03220024332404137,0.034074317663908005,-0.008119069039821625
1772614476367728000,0.56772802734375,0.057410791516304016,0.04554801434278488,-0.031105078756809235
1772614476377795300,0.57779541015625,0.059736959636211395,0.02187902294099331,-0.04245492070913315
1772614476387862300,0.5878623046875,0.05036795884370804,0.002141802804544568,-0.04289833456277847
1772614476397929200,0.59792919921875,0.05428248643875122,-0.006458183750510216,-0.04472818970680237
1772614476407996200,0.60799609375,0.0721493661403656,-0.024926939979195595,-0.03840850666165352
1772614476418063000,0.61806298828125,0.06860745698213577,-0.0754484161734581,-0.012787892483174801
1772614476428130300,0.62813037109375,0.04826650023460388,-0.10684175789356232,0.02660052664577961
1772614476438197200,0.638197265625,0.02297213114798069,-0.08481412380933762,0.04942149296402931
1772614476448264400,0.648264404296875,0.016811173409223557,-0.07015741616487503,0.0420040600001812
1772614476458331400,0.658331298828125,0.019982563331723213,-0.05897611379623413,0.03068716451525688
1772614476468398300,0.6683984375,0.026590663939714432,-0.020960289984941483,0.00826201681047678
1772614476478465300,0.67846533203125,0.04645093157887459,0.011883934028446674,-0.021646792069077492
1772614476488532200,0.6885322265625,0.05669158697128296,0.008947267197072506,-0.04576171934604645
1772614476498598400,0.698598388671875,0.04358745738863945,-0.02245384082198143,-0.05196847394108772
1772614476508665300,0.708665283203125,0.020134594291448593,-0.05253264680504799,-0.046081289649009705
1772614476518732300,0.718732177734375,0.004814606159925461,-0.06881054490804672,-0.031587760895490646
1772614476528799200,0.72879931640625,0.002893401775509119,-0.06008177250623703,-0.01897822692990303
