time,seconds_elapsed,z,y,x
1772699889838666200,0.071666259765625,0.002138784620910883,0.002701244316995144,0.0030658310279250145
1772699889848623400,0.081623291015625,0.0015707324491813779,0.00603339122608304,0.006163886282593012
1772699889858581200,0.091581298828125,0.0020871192682534456,0.006536728702485561,0.004051733296364546
1772699889868538400,0.101538330078125,0.0009811085183173418,0.0075724320486187935,0.003656253917142749
1772699889878495200,0.1114951171875,0.003129746997728944,0.0059902481734752655,0.0029433255549520254
1772699889888452400,0.121452392578125,0.003781422507017851,0.007881092838943005,0.0012692625168710947
1772699889898410200,0.13141015625,0.00440912926569581,0.006110356654971838,0.002167813014239073
1772699889908367400,0.141367431640625,0.0005752427969127893,0.005659749731421471,0.0032959282398223877
1772699889918324200,0.15132421875,0.0002008023438975215,0.00857111718505621,0.0023899206425994635
1772699889928281300,0.16128125,0.004332696553319693,0.006140184123069048,0.00643686018884182
1772699889938238000,0.171238037109375,0.0026173547375947237,0.01038339827209711,0.0027856663800776005
1772699889948195600,0.181195556640625,0.0038836877793073654,0.0062128882855176926,0.0038743666373193264
1772699889958152700,0.191152587890625,0.005619536153972149,0.005116731394082308,0.006338856182992458
1772699889968109800,0.20110986328125,0.0027198863681405783,0.006277603097259998,0.005542570725083351
1772699889978067000,0.21106689453125,0.0035955337807536125,0.0037771612405776978,0.004223507363349199
1772699889988024800,0.22102490234375,0.003689543344080448,0.006229666527360678,0.005160140804946423
1772699889997981700,0.230981689453125,0.0018375811632722616,0.00800359807908535,0.0038722362369298935
1772699890007938800,0.240938720703125,0.000059388490626588464,0.008599613793194294,0.004315386060625315
1772699890017895700,0.250895751953125,0.004424575716257095,0.004268248099833727,0.005519667640328407
1772699890027853800,0.260853759765625,0.002797118155285716,0.005470665637403727,0.0038962047547101974
1772699890037810700,0.270810791015625,0.002122006844729185,0.005634183529764414,0.005829926114529371
1772699890047767800,0.280767822265625,0.003590740030631423,0.005979062989354134,0.004315652418881655
1772699890057724700,0.290724609375,0.0015683355741202831,0.00765898497775197,0.007649397477507591
1772699890067682800,0.300682861328125,0.003260774305090308,0.005226986017078161,0.0022540995851159096
1772699890077640000,0.310639892578125,0.002581934677436948,0.005191832315176725,0.00367143377661705
1772699890087596800,0.3205966796875,0.0031638352666050196,0.007330351043492556,0.003224289044737816
1772699890097553700,0.3305537109375,-0.00009614011651137844,0.0054674698039889336,0.0027198863681405783
1772699890107510800,0.3405107421875,0.002124137245118618,0.005371862091124058,0.008069911040365696
1772699890117469000,0.350468994140625,0.0027470507193356752,0.005614209920167923,0.004750280175358057
1772699890127425800,0.36042578125,0.004397677723318338,0.00580862071365118,0.003799265483394265
1772699890137382700,0.370382568359375,0.0009765811264514923,0.005832322873175144,0.00464721629396081
1772699890147339800,0.38033984375,0.002823483431711793,0.005077316425740719,0.0028605014085769653
1772699890157298000,0.3902978515625,0.0016160061350092292,0.005508748814463615,0.0031457259319722652
1772699890167255000,0.400255126953125,0.0028762139845639467,0.005373193882405758,0.004223773255944252
1772699890177211600,0.410211669921875,0.002310824813321233,0.006712231319397688,0.0062850601971149445
1772699890187168800,0.420168701171875,0.0032645028550177813,0.006581203546375036,0.006942860782146454
1772699890197127000,0.430126953125,0.001980859087780118,0.006758570205420256,0.006054696626961231
1772699890207083800,0.440083740234375,0.0018911106744781137,0.004174771253019571,0.005229915492236614
1772699890217041000,0.450041015625,0.004794755019247532,0.006218214984983206,0.006191849708557129
1772699890226997800,0.459997802734375,0.0006207828409969807,0.005126585252583027,0.004496747627854347
1772699890236955000,0.469954833984375,0.0012591425329446793,0.007172158919274807,0.005344431847333908
1772699890246912800,0.479912841796875,0.002686064224690199,0.003715908620506525,0.006018477492034435
1772699890256870000,0.489869873046875,0.0021752698812633753,0.006903179921209812,0.005577191710472107
1772699890266826800,0.49982666015625,0.0032589102629572153,0.004998486954718828,0.0054735951125621796
1772699890276783600,0.50978369140625,0.004835235420614481,0.005060272291302681,0.003343598684296012
1772699890286741800,0.51974169921875,0.001383778522722423,0.008162855170667171,0.006875482853502035
1772699890296699000,0.529698974609375,0.004448544234037399,0.00449994346126914,0.005079447291791439
1772699890306656000,0.539656005859375,0.003777693957090378,0.006636330857872963,0.005546032916754484
1772699890316612600,0.549612548828125,0.002730805426836014,0.006846454460173845,0.007979629561305046
1772699890326570800,0.55957080078125,0.0015923039754852653,0.005675995256751776,0.006338856182992458
1772699890336528000,0.56952783203125,0.003014432033523917,0.0068182251416146755,0.0059865196235477924
1772699890346485000,0.579485107421875,0.004569185432046652,0.004630970768630505,0.0025832662358880043
1772699890356441900,0.58944189453125,0.0034964641090482473,0.004550010897219181,0.006127933505922556
1772699890366398700,0.599398681640625,0.002659166231751442,0.00900015328079462,0.0017923073610290885
